Updated,Country,Cases,Today Cases,Deaths,Today Deaths,Total Recovered,Today Recovered,Active,Critical,Tests,Population,Continent
1706090159580,Germany,38800361,0,181477,0,38240600,0,378284,0,122332384,83883596,Europe
1706090159738,Ghana,171889,0,1462,0,170425,0,2,0,2541625,32395450,Africa
1706090159804,Gibraltar,20550,0,113,0,0,0,20437,0,534283,33704,Europe
1706090159614,Greece,6101379,0,37869,0,0,0,6063510,0,102228365,10316637,Europe
1706090159821,Greenland,11971,0,21,0,2761,0,9189,4,164926,56973,North America
1706090159805,Grenada,19693,0,238,0,19358,0,97,4,182981,113475,North America
1706090159729,Guadeloupe,203235,0,1021,0,0,0,202214,0,938039,399794,North America
1706090159662,Guatemala,1283130,0,20274,0,1261268,0,1588,5,7593848,18584039,North America
1706090159779,Guinea,38572,0,468,0,37757,0,347,0,660107,13865691,Africa
1706090159827,Guinea-Bissau,9614,0,177,0,8929,0,508,6,145231,2063367,Africa
1706090159757,Guyana,74137,0,1300,0,72013,0,824,0,733218,794045,South America
1706090159785,Haiti,34542,0,860,0,33576,0,106,0,132422,11680283,North America
1706090159855,Holy See (Vatican City State),29,0,0,0,29,0,0,0,0,799,Europe
1706090159706,Honduras,474590,0,11165,0,0,0,463425,0,1660662,10221247,North America
1706090159640,Hong Kong,2926348,0,14434,0,2910121,0,1793,0,76127725,7604299,Asia
1706090159646,Hungary,2228206,0,48976,0,2152155,0,27075,0,11394556,9606259,Europe
1706090159727,Iceland,209832,0,229,0,0,0,209603,0,1996384,345393,Europe
1706090159578,India,45024190,0,533439,0,0,0,44490751,0,935879495,1406631776,Asia
1706090159609,Indonesia,6825402,0,161954,0,6647104,0,16344,0,114158919,279134505,Asia
1706090159608,Iran,7625812,0,146767,0,0,0,7479045,0,57320267,86022837,Asia
1706090159645,Iraq,2465545,0,25375,0,2439497,0,673,0,19544451,42164965,Asia
1706090159652,Ireland,1731136,0,9470,0,1719523,611,2143,19,13083449,5020199,Europe
1706090159781,Isle of Man,38008,0,116,0,0,0,37892,0,150753,85732,Europe
1706090159626,Israel,4841772,0,12707,0,4798473,0,30592,0,41373364,9326000,Asia
1706090159586,Italy,26701924,0,195752,0,26312787,0,193385,167,279648186,60262770,Europe
1706090159739,Jamaica,156739,0,3739,0,0,0,153000,0,1183986,2985094,North America
1706090159584,Japan,33803572,0,74694,0,0,0,33728878,0,100414883,125584838,Asia
1706090159651,Jordan,1746997,0,14122,0,1731007,0,1868,59,17201885,10300869,Asia
1706090159656,Kazakhstan,1411831,0,13848,0,1383020,0,14963,24,11575012,19205043,Asia
1706090159714,Kenya,344130,0,5689,0,337309,0,1132,0,3967062,56215221,Africa
1706090159841,Kiribati,5085,0,24,0,2703,0,2358,3,0,123419,Australia-Oceania
1706090159691,Kuwait,666756,0,2570,0,0,0,664186,0,8455743,4380326,Asia
1706090159728,Kyrgyzstan,206897,0,2991,0,196406,0,7500,131,1907195,6728271,Asia
1706090159726,Lao People's Democratic Republic,218913,0,758,0,0,0,218155,0,1233207,7481023,Asia
1706090159683,Latvia,981883,0,6609,0,971406,0,3868,0,7885792,1848837,Europe
1706090159664,Lebanon,1243838,0,10952,0,1087587,0,145299,74,4795578,6684849,Asia
1706090159783,Lesotho,36135,0,723,0,25980,0,9432,0,431221,2175699,Africa
1706090159830,Liberia,8090,0,295,0,7783,0,12,2,139824,5305117,Africa
1706090159702,Libyan Arab Jamahiriya,507274,0,6437,0,500835,0,2,0,2483848,7040745,Africa
1706090159802,Liechtenstein,21569,0,94,0,0,0,21475,0,112457,38387,Europe
1706090159657,Lithuania,1392545,0,9880,0,1377400,0,5265,0,10540357,2661708,Europe
1706090159710,Luxembourg,390465,0,1232,0,0,0,389233,0,4587145,642371,Europe
1706090159857,MS Zaandam,9,0,2,0,7,0,0,0,0,0,
1706090159803,Macao,21141,0,123,0,3487,0,17531,0,7850,667490,Asia
1706090159711,Macedonia,350244,0,9963,0,337068,0,3213,0,2226216,2081304,Europe
1706090159760,Madagascar,68482,0,1426,0,66862,0,194,0,531329,29178077,Africa
1706090159749,Malawi,89168,0,2686,0,0,0,86482,0,624784,20180839,Africa
1706090159622,Malaysia,5265367,0,37335,0,5212384,0,15648,34,68580916,33181072,Asia
1706090159734,Maldives,186694,0,316,0,163687,0,22691,25,2213831,540985,Asia
1706090159787,Mali,33164,0,743,0,32332,0,89,0,804909,21473764,Africa
1706090159743,Malta,121295,0,880,0,119882,0,533,0,2164612,444033,Europe
1706090159814,Marshall Islands,16138,0,17,0,16121,0,0,0,0,60057,Australia-Oceania
1706090159725,Martinique,230354,0,1102,0,0,0,229252,0,828928,374087,North America
1706090159763,Mauritania,63798,0,997,0,62471,0,330,0,1009957,4901981,Africa
1706090159776,Mauritius,43025,0,1051,0,41278,0,696,0,358675,1274727,Africa
1706090159777,Mayotte,42027,0,188,0,0,0,41839,0,176919,286259,Africa
1706090159606,Mexico,7702809,0,334958,0,6899865,0,467986,0,20013810,131562772,North America
1706090159793,Micronesia,26547,0,65,0,0,0,26482,0,82430,117489,Australia-Oceania
1706090159695,Moldova,631894,0,12179,0,0,0,619715,0,3216305,4013171,Europe
1706090159811,Monaco,17181,0,67,0,0,0,17114,0,78646,39783,Europe
1706090159680,Mongolia,1011431,0,2284,0,1009147,0,0,0,4030048,3378078,Asia
1706090159718,Montenegro,296259,0,2845,0,291794,0,1620,0,2769281,627950,Europe
1706090159848,Montserrat,1403,0,8,0,1376,0,19,0,17762,4965,North America
1706090159663,Morocco,1278512,0,16301,0,0,0,1262211,0,13001033,37772756,Africa
1706090159723,Mozambique,233731,0,2250,0,228805,0,2676,11,1371127,33089461,Africa
1706090159694,Myanmar,641614,0,19495,0,620159,0,1960,0,11598721,55227143,Asia
1706090159628,N. Korea,4772813,0,74,0,4772739,0,0,0,0,25990679,Asia
1706090159735,Namibia,172239,0,4103,0,167099,0,1037,0,1062663,2633874,Africa
1706090159840,Nauru,5393,0,1,0,5347,0,45,0,20509,10903,Australia-Oceania
1706090159681,Nepal,1003450,0,12031,0,991322,0,97,0,6047766,30225582,Asia
1706090159605,Netherlands,8631646,0,22992,0,8606689,1572,1965,0,25984435,17211447,Europe
1706090159753,New Caledonia,80064,0,314,0,0,0,79750,0,98964,290915,Australia-Oceania
